Rank,Title,Score
1,"Fullmetal Alchemist: BrotherhoodTV (64 eps)Apr 2009 - Jul 20103,218,472 membersManga StoreVolume 1€4.58Preview",9.1
2,"Steins;GateTV (24 eps)Apr 2011 - Sep 20112,473,707 members",9.07
3,"Bleach: Sennen Kessen-henTV (13 eps)Oct 2022 - Dec 2022474,138 members",9.06
4,"Gintama°TV (51 eps)Apr 2015 - Mar 2016605,113 members",9.06
5,"Shingeki no Kyojin Season 3 Part 2TV (10 eps)Apr 2019 - Jul 20192,146,679 membersManga StoreVolume 1€10.99Preview",9.05
6,"Gintama'TV (51 eps)Apr 2011 - Mar 2012534,105 members",9.04
7,"Gintama: The FinalMovie (1 eps)Jan 2021 - Jan 2021137,208 members",9.04
8,"Hunter x Hunter TV (148 eps)Oct 2011 - Sep 20142,701,154 members",9.04
9,"Kaguya-sama wa Kokurasetai: Ultra RomanticTV (13 eps)Apr 2022 - Jun 2022851,445 members",9.04
10,"Gintama': EnchousenTV (13 eps)Oct 2012 - Mar 2013313,446 members",9.03
11,"Shingeki no Kyojin: The Final Season - Kanketsu-henSpecial (2 eps)Mar 2023 - May 2023472,340 membersManga StoreVolume 1€10.99Preview",9.03
12,"Ginga Eiyuu DensetsuOVA (110 eps)Jan 1988 - Mar 1997309,193 members",9.02
13,"Bleach: Sennen Kessen-hen - Ketsubetsu-tanTV (13 eps)Jul 2023 - Aug 2023 178,482 members",8.99
14,"Fruits Basket: The FinalTV (13 eps)Apr 2021 - Jun 2021443,882 membersManga StoreVolume 1€6.66Preview",8.99
15,"Gintama.TV (12 eps)Jan 2017 - Mar 2017302,232 members",8.98
16,"GintamaTV (201 eps)Apr 2006 - Mar 20101,034,418 members",8.94
17,"Koe no KatachiMovie (1 eps)Sep 2016 - Sep 20162,228,957 membersManga StoreVolume 1€10.99Preview",8.94
18,"3-gatsu no Lion 2nd SeasonTV (22 eps)Oct 2017 - Mar 2018388,358 members",8.93
19,"Clannad: After StoryTV (24 eps)Oct 2008 - Mar 20091,160,879 members",8.93
20,"Code Geass: Hangyaku no Lelouch R2TV (25 eps)Apr 2008 - Sep 20081,720,715 members",8.91
21,"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien NareMovie (1 eps)Jul 2013 - Jul 2013232,388 members",8.91
22,"Violet Evergarden MovieMovie (1 eps)Sep 2020 - Sep 2020564,225 members",8.89
23,"Owarimonogatari 2nd SeasonTV (7 eps)Aug 2017 - Aug 2017385,248 members",8.88
24,"Gintama.: Shirogane no Tamashii-hen - Kouhan-senTV (14 eps)Jul 2018 - Oct 2018189,172 members",8.88
25,"MonsterTV (74 eps)Apr 2004 - Sep 20051,041,081 members",8.87
26,"Kimi no Na wa.Movie (1 eps)Aug 2016 - Aug 20162,635,814 membersManga StoreVolume 1€4.58Preview",8.84
27,"Kaguya-sama wa Kokurasetai: First Kiss wa OwaranaiMovie (1 eps)Dec 2022 - Dec 2022205,150 members",8.84
28,"Bocchi the Rock!TV (12 eps)Oct 2022 - Dec 2022464,981 members",8.83
29,"The First Slam DunkMovie (1 eps)Dec 2022 - Dec 202227,063 members",8.83
30,"Vinland Saga Season 2TV (24 eps)Jan 2023 - Jun 2023495,454 membersManga StoreVolume 1€17.99Preview",8.82
31,"Jujutsu Kaisen 2nd SeasonTV (23 eps)Jul 2023 - Aug 2023 556,301 members",8.82
32,"Gintama.: Shirogane no Tamashii-henTV (12 eps)Jan 2018 - Mar 2018203,540 members",8.81
33,"Kingdom 3rd SeasonTV (26 eps)Apr 2020 - Oct 202193,645 members",8.81
