Table of 32: [32, 64, 96, 128, 160, 192, 224, 256, 288, 320]
Table of 32: [32, 64, 96, 128, 160, 192, 224, 256, 288, 320]
Table of 32: [32, 64, 96, 128, 160, 192, 224, 256, 288, 320]
Table of 12: [12, 24, 36, 48, 60, 72, 84, 96, 108, 120]
Table of 42: [42, 84, 126, 168, 210, 252, 294, 336, 378, 420]
Table of 546: [546, 1092, 1638, 2184, 2730, 3276, 3822, 4368, 4914, 5460]
Table of 89: [89, 178, 267, 356, 445, 534, 623, 712, 801, 890]
Table of 9999: [9999, 19998, 29997, 39996, 49995, 59994, 69993, 79992, 89991, 99990]
Table of 999999: [999999, 1999998, 2999997, 3999996, 4999995, 5999994, 6999993, 7999992, 8999991, 9999990]
Table of 6456945: [6456945, 12913890, 19370835, 25827780, 32284725, 38741670, 45198615, 51655560, 58112505, 64569450]
Table of 435: [435, 870, 1305, 1740, 2175, 2610, 3045, 3480, 3915, 4350]
Table of 345: [345, 690, 1035, 1380, 1725, 2070, 2415, 2760, 3105, 3450]
Table of 45: [45, 90, 135, 180, 225, 270, 315, 360, 405, 450]
